
Training [2%]	Loss: 2.1956
Training [4%]	Loss: 1.5717
Training [6%]	Loss: 1.0339
Training [8%]	Loss: 0.9979
Training [10%]	Loss: 0.9132
Training [12%]	Loss: 0.7030
Training [14%]	Loss: 0.6685
Training [16%]	Loss: 0.7330
Training [18%]	Loss: 0.6302
Training [20%]	Loss: 0.6095
Training [22%]	Loss: 0.5529
Training [24%]	Loss: 0.5153
Training [26%]	Loss: 0.4918
Training [28%]	Loss: 0.5589
Training [30%]	Loss: 0.6209
Training [32%]	Loss: 0.5421
Training [34%]	Loss: 0.5341
Training [36%]	Loss: 0.4787
Training [38%]	Loss: 0.4605
Training [40%]	Loss: 0.5234
Training [42%]	Loss: 0.4785
Training [44%]	Loss: 0.5151
Training [46%]	Loss: 0.4978
Training [48%]	Loss: 0.6132
Training [50%]	Loss: 0.4075
Training [52%]	Loss: 0.4572
Training [54%]	Loss: 0.4106
Training [56%]	Loss: 0.4808
Training [58%]	Loss: 0.4573
Training [60%]	Loss: 0.4814
Training [62%]	Loss: 0.5187
Training [64%]	Loss: 0.4070
Training [66%]	Loss: 0.4657
Training [68%]	Loss: 0.3830
Training [70%]	Loss: 0.4194
Training [72%]	Loss: 0.4427
Training [74%]	Loss: 0.3815
Training [76%]	Loss: 0.3134
Training [78%]	Loss: 0.3954
Training [80%]	Loss: 0.4249
Training [82%]	Loss: 0.4122
Training [84%]	Loss: 0.4018
Training [86%]	Loss: 0.4212
Training [88%]	Loss: 0.3540
Training [90%]	Loss: 0.4861
Training [92%]	Loss: 0.3153
Training [94%]	Loss: 0.4158
Training [96%]	Loss: 0.3989
Training [98%]	Loss: 0.3904
Training [100%]	Loss: 0.4228
Performance on test data:
	Loss: 0.1678
	Accuracy: 0.1%
/Users/valenetjong/opt/anaconda3/envs/sklearn-env/lib/python3.9/site-packages/numpy/lib/npyio.py:1378: FutureWarning: The input object of type 'Tensor' is an array-like implementing one of the corresponding protocols (`__array__`, `__array_interface__` or `__array_struct__`); but not a sequence (or 0-D). In the future, this object will be coerced as if it was first converted using `np.array(obj)`. To retain the old behaviour, you have to either modify the type 'Tensor', or assign to an empty array created with `np.empty(correct_shape, dtype=object)`.
  X = np.asarray(X)
/Users/valenetjong/opt/anaconda3/envs/sklearn-env/lib/python3.9/site-packages/numpy/lib/npyio.py:1378: VisibleDeprecationWarning: Creating an ndarray from ragged nested sequences (which is a list-or-tuple of lists-or-tuples-or ndarrays with different lengths or shapes) is deprecated. If you meant to do this, you must specify 'dtype=object' when creating the ndarray.
  X = np.asarray(X)
